DateTime,RealPower,ReactivePower
1/7/2016 10:45,170.721,63.393
1/7/2016 11:00,182.143,71.259
1/7/2016 11:15,182.652,70.958
1/7/2016 11:30,177.763,68.534
1/7/2016 11:45,174.452,69.953
1/7/2016 12:00,173.569,70.313
1/7/2016 12:15,175.683,72.364
1/7/2016 12:30,180.513,78.072
1/7/2016 12:45,174.582,73.129
1/7/2016 13:00,168.523,70.999
1/7/2016 13:15,169.503,71.357
1/7/2016 13:30,169.071,71.008
1/7/2016 13:45,172.345,73.984
1/7/2016 14:00,174.592,75.749
1/7/2016 14:15,169.924,72.335
1/7/2016 14:30,166.563,70.571
1/7/2016 14:45,161.84,69.454
1/7/2016 15:00,162.143,69.668
1/7/2016 15:15,164.15,69.42
1/7/2016 15:30,175.936,78.244
1/7/2016 15:45,170.508,75.361
1/7/2016 16:00,168.206,76.232
1/7/2016 16:15,163.813,75.8
1/7/2016 16:30,159.996,73.279
1/7/2016 16:45,154.797,72.802
1/7/2016 17:00,153.542,73.574
1/7/2016 17:15,150.585,67.265
1/7/2016 17:30,148.851,61.618
1/7/2016 17:45,150.209,64.241
1/7/2016 18:00,147.473,61.721
1/7/2016 18:15,142.342,60.099
1/7/2016 18:30,140.748,60.685
1/7/2016 18:45,142.949,61.203
1/7/2016 19:00,143.691,61.536
1/7/2016 19:15,141.686,59.527
1/7/2016 19:30,142.274,63.605
1/7/2016 19:45,140.288,61.83
1/7/2016 20:00,143.929,64.175
1/7/2016 20:15,138.887,59.528
1/7/2016 20:30,132.64,51.382
1/7/2016 20:45,119.288,41.542
1/7/2016 21:00,121.789,43.853
1/7/2016 21:15,121.926,44.363
1/7/2016 21:30,120.096,43.801
1/7/2016 21:45,116.446,44.049
1/7/2016 22:00,115.442,43.429
1/7/2016 22:15,122.65,47.442
1/7/2016 22:30,121.332,45.37
1/7/2016 22:45,120.849,47.305
1/7/2016 23:00,114.117,46.29
1/7/2016 23:15,80.469,27.437
1/7/2016 23:30,80.521,28.052
1/7/2016 23:45,77.049,26.955
1/8/2016 0:00,72.582,20.992
1/8/2016 0:15,71.581,21.675
1/8/2016 0:30,65.568,20.219
1/8/2016 0:45,64.689,22.389
1/8/2016 1:00,65.43,22.457
1/8/2016 1:15,64.994,22.396
1/8/2016 1:30,61.984,19.942
1/8/2016 1:45,62.4,18.992
1/8/2016 2:00,60.942,18.456
1/8/2016 2:15,62.168,18.871
1/8/2016 2:30,61.16,18.976
1/8/2016 2:45,61.805,18.592
1/8/2016 3:00,61.99,19.338
1/8/2016 3:15,62.421,18.708
1/8/2016 3:30,60.69,18.511
1/8/2016 3:45,62.003,18.565
1/8/2016 4:00,62.048,19.546
1/8/2016 4:15,67.422,19.854
1/8/2016 4:30,68.103,19.868
1/8/2016 4:45,66.273,19.16
1/8/2016 5:00,68.008,19.609
1/8/2016 5:15,67.737,19.614
1/8/2016 5:30,66.519,19.875
1/8/2016 5:45,69.51,22.497
1/8/2016 6:00,88.987,29.915
1/8/2016 6:15,113.925,42.261
1/8/2016 6:30,126.47,48.153
1/8/2016 6:45,131.338,51.038
1/8/2016 7:00,132.508,54.073
1/8/2016 7:15,130.164,63.882
1/8/2016 7:30,137.678,66.564
1/8/2016 7:45,150.837,69.856
1/8/2016 8:00,155.972,69.574
1/8/2016 8:15,157.789,66.72
1/8/2016 8:30,153.315,62.725
1/8/2016 8:45,164.266,69.155
1/8/2016 9:00,170.919,72.346
1/8/2016 9:15,172.643,71.393
1/8/2016 9:30,170.463,70.383
1/8/2016 9:45,169.851,70.702
1/8/2016 10:00,175.037,72.277
1/8/2016 10:15,176.09,72.602
1/8/2016 10:30,173.419,70.321
1/8/2016 10:45,174.171,70.581
1/8/2016 11:00,178.629,73.282
1/8/2016 11:15,181.052,75.628
